일자,기관 합계,기타법인,개인,외국인 합계,전체
"2022/04/08","9809.0","21260.0","423363.0","-454433.0","0.0"
"2022/04/07","-520333.0","8698.0","1279890.0","-768255.0","0.0"
"2022/04/06","-565796.0","9196.0","1140200.0","-583600.0","0.0"
"2022/04/05","-247758.0","-4805.0","238186.0","14377.0","0.0"
"2022/04/04","13587.0","-33328.0","-2597.0","22338.0","0.0"
"2022/04/01","-783049.0","5184.0","846014.0","-68149.0","0.0"
"2022/03/31","188686.0","-1655.0","-12772.0","-174259.0","0.0"
"2022/03/30","159297.0","-11671.0","-137998.0","-9628.0","0.0"
"2022/03/29","326574.0","-38186.0","-8465.0","-279923.0","0.0"
"2022/03/28","67597.0","3095.0","192144.0","-262836.0","0.0"
"2022/03/25","-127831.0","16147.0","663403.0","-551719.0","0.0"
"2022/03/24","-1585857.0","60528.0","509133.0","1016196.0","0.0"
"2022/03/23","235504.0","5884.0","-298539.0","57151.0","0.0"
"2022/03/22","-32275.0","-2040.0","-185451.0","219767.0","0.0"
"2022/03/21","-334621.0","18503.0","805955.0","-489837.0","0.0"
"2022/03/18","-14266.0","-18983.0","135331.0","-102083.0","0.0"
"2022/03/17","250388.0","-18916.0","-695388.0","463916.0","0.0"
"2022/03/16","365628.0","4792.0","-236340.0","-134080.0","0.0"
"2022/03/15","47773.0","28839.0","598643.0","-675254.0","0.0"
"2022/03/14","5461.0","9443.0","625037.0","-639940.0","0.0"
"2022/03/11","-371015.0","27728.0","1029409.0","-686123.0","0.0"
"2022/03/10","764463.0","14992.0","-352464.0","-426991.0","0.0"
"2022/03/08","-291397.0","32998.0","732044.0","-473645.0","0.0"
"2022/03/07","-959834.0","26035.0","2115307.0","-1181508.0","0.0"
"2022/03/04","-425605.0","25640.0","986843.0","-586879.0","0.0"
"2022/03/03","259123.0","-1086.0","-391177.0","133140.0","0.0"
"2022/03/02","-132217.0","12140.0","426448.0","-306371.0","0.0"
"2022/02/28","-380094.0","-7330.0","290801.0","96622.0","0.0"
"2022/02/25","194174.0","14022.0","-85211.0","-122985.0","0.0"
"2022/02/24","-482649.0","49777.0","1099802.0","-666930.0","0.0"
"2022/02/23","189573.0","13670.0","63430.0","-266673.0","0.0"
"2022/02/22","-382334.0","37489.0","671419.0","-326574.0","0.0"
"2022/02/21","-89600.0","51399.0","101620.0","-63419.0","0.0"
"2022/02/18","103999.0","5252.0","42178.0","-151429.0","0.0"
